date,occupancy_rate,surgery_cancel_rate,safe_staffing_rate,lwbs_rate,ed_arrivals,admissions
2024-01-11,0.8135021563640384,0.2,0.9375,0.02494802494802495,481,175
2024-01-12,0.7965222191553961,0.16279069767441862,0.9625,0.03834355828220859,652,209
2024-01-13,0.7960906263882719,,0.9125,0.02086677367576244,623,205
2024-01-14,0.8015639731573402,,0.8875,0.03931203931203931,814,252
2024-01-15,0.8353395913859746,0.2,0.9375,0.02782608695652174,575,197
2024-01-16,0.8417413430689236,0.17777777777777778,0.89375,0.026729559748427674,636,216
2024-01-17,0.8494992530293809,0.0425531914893617,0.975,0.02434782608695652,575,214
2024-01-18,0.844937233866062,0.02564102564102564,0.975,0.030534351145038167,655,226
2024-01-19,0.8503175918254626,0.058823529411764705,0.9375,0.04061895551257253,517,174
2024-01-20,0.8228584085497536,,0.8875,0.03758169934640523,612,166
2024-01-21,0.7895992895992896,,0.91875,0.040783034257748776,613,184
2024-01-22,0.8092134334953601,0.11320754716981132,0.925,0.04252199413489736,682,251
2024-01-23,0.8535278192165313,0.07142857142857142,0.95,0.03363914373088685,654,258
2024-01-24,0.8803975704030922,0.022727272727272728,0.925,0.03177966101694915,472,197
2024-01-25,0.8804540420819491,0.15517241379310345,0.925,0.039316239316239315,585,227
2024-01-26,0.8734793187347932,0.02857142857142857,0.96875,0.021937842778793418,547,210
2024-01-27,0.8622624736081786,,0.925,0.036334913112164295,633,182
2024-01-28,0.8190882401816872,,0.9375,0.021538461538461538,650,180
2024-01-29,0.8263058875608676,0.125,0.91875,0.043202033036848796,787,243
2024-01-30,0.8666445879560634,0.05555555555555555,0.93125,0.03536067892503536,707,265
2024-01-31,0.8787476490762253,0.18,0.95625,0.038980509745127435,667,237
2024-02-01,0.8889810819780949,0.058823529411764705,0.94375,0.038748137108792845,671,239
2024-02-02,0.8938856889676562,0.09523809523809523,0.94375,0.02975206611570248,605,215
2024-02-03,0.8702213837873828,,0.89375,0.03265940902021773,643,189
2024-02-04,0.8444839264893677,,0.925,0.04942339373970346,607,187
2024-02-05,0.8400995575221238,0.05555555555555555,0.9625,0.035483870967741936,620,227
2024-02-06,0.875871224692997,0.061224489795918366,0.9375,0.027491408934707903,582,239
2024-02-07,0.8856021231892072,0.07547169811320754,0.9375,0.028333333333333332,600,235
2024-02-08,0.8834162520729685,0.09803921568627451,0.9625,0.024778761061946902,565,219
2024-02-09,0.8796552105204996,0.1388888888888889,0.975,0.03354632587859425,626,243
2024-02-10,0.8797380542760419,,0.93125,0.04748201438848921,695,202
2024-02-11,0.8723262772913665,,0.93125,0.02377179080824089,631,195
2024-02-12,0.8719889502762431,0.109375,0.95,0.04149377593360996,723,277
2024-02-13,0.8950743545801316,0.11666666666666667,0.9875,0.03616133518776078,719,273
2024-02-14,0.8989731699238158,0.1,0.95625,0.042028985507246375,690,257
2024-02-15,0.8963973919770141,0.125,0.925,0.036775106082036775,707,266
2024-02-16,0.9129929752751812,0.08695652173913043,0.88125,0.031078610603290677,547,211
2024-02-17,0.8861896838602329,,0.925,0.034993270524899055,743,220
2024-02-18,0.867475217367226,,0.9625,0.02046783625730994,684,214
2024-02-19,0.8787091783168481,0.07407407407407407,0.975,0.024115755627009645,622,242
2024-02-20,0.8784902328661296,0.09523809523809523,0.9125,0.030303030303030304,627,228
2024-02-21,0.8875172986437864,0.04,0.975,0.0336,625,222
2024-02-22,0.8820218518927271,0.1111111111111111,0.93125,0.030694668820678513,619,251
2024-02-23,0.8765842049919752,0.1,0.93125,0.02486678507992895,563,201
2024-02-24,0.8368163628279235,,0.925,0.03364485981308411,535,182
2024-02-25,0.8181515773133005,,0.91875,0.03342245989304813,748,200
2024-02-26,0.8266173548244645,0.19148936170212766,0.93125,0.03924914675767918,586,206
2024-02-27,0.8320318989865426,0.044444444444444446,0.925,0.025974025974025976,539,197
2024-02-28,0.8473855667826183,0.04081632653061224,0.95625,0.02471169686985173,607,228
2024-02-29,0.8670497872575565,0.11363636363636363,0.9375,0.029876977152899824,569,214
2024-03-01,0.8530367270524751,0.09433962264150944,0.925,0.03597122302158273,556,212
2024-03-02,0.8329194945649175,,0.95,0.03731343283582089,670,193
2024-03-03,0.8158986557504011,,0.91875,0.03553299492385787,591,170
2024-03-04,0.8108078301626689,0.038461538461538464,0.9375,0.027722772277227723,505,196
2024-03-05,0.8118424676397686,0.0425531914893617,0.9625,0.03696098562628337,487,182
2024-03-06,0.8130820521298286,0.12280701754385964,0.95625,0.023728813559322035,590,213
2024-03-07,0.8348118353628299,0.0,0.98125,0.03220338983050847,590,241
2024-03-08,0.8371836577162706,0.125,0.975,0.029143897996357013,549,199
2024-03-09,0.8248936992655586,,0.975,0.030837004405286344,681,213
2024-03-10,0.8212648439657553,,0.95625,0.039182282793867124,587,182
2024-03-11,0.8344432825141725,0.05357142857142857,0.9875,0.03514376996805112,626,235
2024-03-12,0.8438946440379105,0.12962962962962962,0.96875,0.03543307086614173,508,201
2024-03-13,0.8556701030927835,0.0784313725490196,0.9625,0.049019607843137254,510,184
2024-03-14,0.8581259634441752,0.05357142857142857,0.95,0.02524271844660194,515,216
2024-03-15,0.836348638988177,0.07894736842105263,0.9625,0.021103896103896104,616,192
2024-03-16,0.812403186545696,,0.95625,0.03288490284005979,669,185
2024-03-17,0.7958607714016933,,0.9375,0.03636363636363636,550,174
2024-03-18,0.7737531652537708,0.13636363636363635,0.9625,0.02737226277372263,548,179
2024-03-19,0.7799724896836313,0.018867924528301886,0.99375,0.024271844660194174,412,167
2024-03-20,0.7846238633232295,0.075,0.94375,0.025048169556840076,519,217
2024-03-21,0.8201101928374656,0.07407407407407407,0.975,0.038391224862888484,547,215
2024-03-22,0.8209998898799692,0.05128205128205128,0.96875,0.03874538745387454,542,192
2024-03-23,0.8007961519323271,,0.95,0.01090909090909091,550,173
2024-03-24,0.7713748479150536,,0.94375,0.03598484848484849,528,159
2024-03-25,0.7788969616908851,0.16363636363636364,0.9875,0.03,600,233
2024-03-26,0.7753539359885419,0.09090909090909091,0.99375,0.02434077079107505,493,182
2024-03-27,0.784089030907388,0.02,0.9625,0.043795620437956206,548,205
2024-03-28,0.7885588558855886,0.041666666666666664,0.98125,0.023404255319148935,470,177
2024-03-29,0.7511845730027549,,0.9625,0.030226700251889168,397,121
2024-03-30,0.6973050744286425,,0.90625,0.03854875283446712,441,129
2024-03-31,0.6783861353350259,,0.95625,0.024822695035460994,564,160
2024-04-01,0.6862658576944292,,0.9625,0.03590664272890485,557,160
2024-04-02,0.710842047330765,0.08928571428571429,0.95625,0.030947775628626693,517,218
2024-04-03,0.7508816398501212,0.019230769230769232,0.95,0.023980815347721823,417,173
2024-04-04,0.7619230980802024,0.06896551724137931,0.95625,0.03497942386831276,486,194
2024-04-05,0.771967447487078,0.08928571428571429,0.95625,0.036053130929791274,527,223
2024-04-06,0.7934409910408141,,0.91875,0.03470031545741325,634,202
2024-04-07,0.7798286819563416,,0.9875,0.042600896860986545,446,147
2024-04-08,0.7842209507042254,0.03333333333333333,0.9625,0.03035143769968051,626,242
2024-04-09,0.7907104727312751,0.06382978723404255,0.96875,0.031078610603290677,547,216
2024-04-10,0.818317159241288,0.06779661016949153,0.96875,0.03397027600849257,471,190
2024-04-11,0.7998789479476175,0.15384615384615385,0.99375,0.036613272311212815,437,163
2024-04-12,0.7936429240345948,0.10416666666666667,0.98125,0.0196078431372549,510,193
