,gain_importance
occupied_beds,14357732.47593975
occupied_roll_mean_30,364747.88935661316
staffed_beds,291745.67712402344
n_admissions,220932.96988248825
surgeries_scheduled_next_7d,17653.220940589905
day_of_week,16970.796392917633
ed_admitted,15442.884647846222
median_los_roll30,13007.97184419632
occupied_roll_mean_14,12559.490629196167
occupancy_rate,12214.571387290955
ward,9854.573750972748
dow_cos,7724.432159423828
available_bed_ratio,7023.0771408081055
hours_ge_85pct,5863.263836860657
n_scheduled,5799.5701904296875
n_emergency_admissions,5566.988596916199
occupied_lag_1,5093.334321498871
occupied_roll_std_30,4941.198922157288
dow_sin,3946.2896842956543
hours_ge_90pct,3403.6297998428345
occupied_roll_mean_7,2562.41011428833
ed_arrivals,2029.5197868347168
n_admissions_lag1,1829.730725288391
n_elective_admissions,1770.7593412399292
occupied_lag_14,1764.8001022338867
occupied_roll_std_14,1748.6799993515015
occupied_roll_std_7,1689.936800956726
bottleneck_roll7_ge90pct,1570.5492057800293
ed_arrivals_roll7,1515.1221060752869
occupied_lag_28,1507.4886198043823
ed_arrivals_lag1,1374.5470743179321
n_emergency_admissions_roll7,1272.0494260787964
occupied_lag_7,1155.0629014968872
ed_high_acuity_arrivals_roll7,959.4623985290527
day_of_year,840.0558071136475
staffed_bed_ratio,818.0000953674316
ed_high_acuity_arrivals,789.2828979492188
n_admissions_roll7,718.9705724716187
month_cos,647.499439239502
month_sin,206.34130096435547
closed_beds,193.6885929107666
safe_staffing_rate_roll7_lag1,148.83160018920898
hospital_id,142.70329666137695
month,140.62479972839355
closed_bed_ratio,114.50749969482422
safe_staffing_rate_lag1,89.3661003112793
week_of_year,42.14060020446777
safe_staffing_rate,22.233299255371094
is_holiday,0.0
is_weekend,0.0
total_beds,0.0
bed_type,0.0
