iter	RMSE
0	8.325652658
1	7.960341171
2	7.607284876
3	7.280702078
4	6.9614209
5	6.66454618
6	6.374949792
7	6.104633949
8	5.843284365
9	5.598328417
10	5.365316047
11	5.146899384
12	4.937273637
13	4.736291995
14	4.543618859
15	4.36500537
16	4.193004356
17	4.032962898
18	3.877534112
19	3.731414554
20	3.590289432
21	3.460039641
22	3.339104004
23	3.223986151
24	3.113153769
25	3.012763757
26	2.914567254
27	2.825682877
28	2.740918867
29	2.662064052
30	2.584150512
31	2.513786947
32	2.449042495
33	2.387651476
34	2.331323256
35	2.275286955
36	2.223125132
37	2.175387779
38	2.132061897
39	2.090116548
40	2.049883824
41	2.012994122
42	1.977836265
43	1.945327564
44	1.916658786
45	1.889837994
46	1.863162343
47	1.838535574
48	1.816702577
49	1.795732758
50	1.777393139
51	1.757688144
52	1.740016867
53	1.724103547
54	1.707916596
55	1.693795913
56	1.681689134
57	1.669156654
58	1.659624013
59	1.649595398
60	1.639670588
61	1.629394159
62	1.620560084
63	1.611403356
64	1.60333413
65	1.595378477
66	1.588891589
67	1.580882023
68	1.574243354
69	1.56833383
70	1.562683203
71	1.555925091
72	1.550858874
73	1.545516638
74	1.54086324
75	1.535614566
76	1.530208528
77	1.526467658
78	1.522382168
79	1.518041601
80	1.514434814
81	1.511140333
82	1.508010621
83	1.50475273
84	1.500284075
85	1.496537241
86	1.493534888
87	1.49080383
88	1.487985467
89	1.485733977
90	1.48347749
91	1.481772131
92	1.479877938
93	1.477751991
94	1.475904186
95	1.474520652
96	1.471656929
97	1.469578419
98	1.467711385
99	1.466319726
100	1.463715672
101	1.461413151
102	1.459707595
103	1.458666249
104	1.457252095
105	1.455910518
106	1.453616105
107	1.451977118
108	1.450751762
109	1.448916514
110	1.447823829
111	1.446523917
112	1.445840205
113	1.444591415
114	1.443652254
115	1.442631201
116	1.441333697
117	1.440360042
118	1.438776607
119	1.437592883
120	1.436410054
121	1.435041444
122	1.433304748
123	1.43245319
124	1.431775953
125	1.430496011
126	1.429372704
127	1.428527669
128	1.427339222
129	1.426648302
130	1.42526276
131	1.424599545
132	1.423945989
133	1.422722706
134	1.421846629
135	1.420549713
136	1.419625972
137	1.418669016
138	1.417472939
139	1.416434241
140	1.415445846
141	1.414564996
142	1.413713427
143	1.412712298
144	1.411765363
145	1.411028665
146	1.410197584
147	1.409040694
148	1.408260391
149	1.407310582
150	1.406767857
151	1.406006903
152	1.404980182
153	1.404139612
154	1.403580365
155	1.402853191
156	1.402206695
157	1.401511022
158	1.400467021
159	1.399697854
160	1.399377012
161	1.398718762
162	1.397736931
163	1.397105172
164	1.396679652
165	1.396047285
166	1.395479839
167	1.394766478
168	1.39422809
169	1.393506648
170	1.392723352
171	1.392077762
172	1.391206226
173	1.390493113
174	1.389894252
175	1.38928949
176	1.388976358
177	1.388415328
178	1.387983073
179	1.387283804
180	1.386805144
181	1.386246106
182	1.385429786
183	1.38499986
184	1.384029696
185	1.383039941
186	1.38215044
187	1.381873493
188	1.381138857
189	1.380488512
190	1.37986441
191	1.379160468
192	1.378558822
193	1.378169026
194	1.377342395
195	1.376972158
196	1.376497918
197	1.375947348
198	1.375320764
199	1.374457759
200	1.37367348
201	1.372976985
202	1.372109338
203	1.37156646
204	1.371032216
205	1.370496097
206	1.370050982
207	1.36941996
208	1.368920901
209	1.368368794
210	1.367603085
211	1.366851772
212	1.36604377
213	1.36548876
214	1.364911278
215	1.364319965
216	1.363794636
217	1.36321116
218	1.362367125
219	1.361866101
220	1.361313364
221	1.360538049
222	1.36000291
223	1.359577183
224	1.359054863
225	1.358492567
226	1.35803412
227	1.357563963
228	1.356894336
229	1.356455911
230	1.355917791
231	1.355167261
232	1.354629453
233	1.354208255
234	1.353821255
235	1.353533391
236	1.352861981
237	1.352217949
238	1.351536468
239	1.350953541
240	1.350452891
241	1.350002001
242	1.349406106
243	1.348782716
244	1.34804319
245	1.347363907
246	1.346840784
247	1.345913757
248	1.345441957
249	1.344914049
250	1.344171466
251	1.343680029
252	1.342991618
253	1.34245082
254	1.341891445
255	1.341615226
256	1.341001451
257	1.340675993
258	1.340216283
259	1.339847522
260	1.339286522
261	1.338717052
262	1.338308727
263	1.337773856
264	1.337246568
265	1.336995303
266	1.336600192
267	1.335988959
268	1.335225708
269	1.334575357
270	1.333977827
271	1.333479176
272	1.333274712
273	1.33273567
274	1.332065832
275	1.331503671
276	1.331160717
277	1.330730892
278	1.33024232
279	1.329691422
280	1.329325832
281	1.328774577
282	1.32821776
283	1.328055393
284	1.328015226
285	1.327336613
286	1.326981599
287	1.326494801
288	1.325778822
289	1.325286059
290	1.325079423
291	1.324872219
292	1.32463718
293	1.324226272
294	1.323977861
295	1.323740956
296	1.323401316
297	1.322765722
298	1.322099405
299	1.32209542
