iter	Passed	Remaining
0	42	12611
1	87	13076
2	129	12802
3	178	13184
4	231	13633
5	279	13686
6	329	13784
7	377	13765
8	424	13711
9	474	13756
10	511	13444
11	551	13225
12	590	13036
13	629	12854
14	667	12690
15	706	12547
16	748	12460
17	788	12351
18	826	12218
19	864	12108
20	903	12002
21	941	11900
22	984	11854
23	1023	11765
24	1064	11705
25	1103	11629
26	1146	11588
27	1184	11511
28	1223	11434
29	1266	11402
30	1308	11357
31	1349	11305
32	1390	11249
33	1431	11200
34	1473	11155
35	1515	11111
36	1560	11094
37	1601	11043
38	1655	11081
39	1701	11058
40	1743	11011
41	1783	10957
42	1822	10891
43	1862	10835
44	1900	10770
45	1944	10737
46	1982	10672
47	2019	10602
48	2059	10548
49	2099	10499
50	2136	10430
51	2176	10382
52	2213	10315
53	2250	10251
54	2291	10209
55	2328	10147
56	2417	10304
57	2500	10431
58	2548	10408
59	2591	10367
60	2628	10299
61	2696	10351
62	2781	10463
63	2823	10412
64	2860	10343
65	2898	10277
66	2938	10218
67	2977	10157
68	3016	10097
69	3054	10034
70	3091	9970
71	3130	9913
72	3172	9863
73	3210	9805
74	3246	9738
75	3285	9684
76	3322	9623
77	3363	9572
78	3402	9518
79	3441	9464
80	3501	9466
81	3546	9427
82	3588	9382
83	3629	9332
84	3670	9284
85	3710	9234
86	3756	9196
87	3798	9150
88	3839	9102
89	3878	9049
90	3920	9004
91	3969	8975
92	4007	8919
93	4047	8868
94	4083	8811
95	4121	8758
96	4165	8717
97	4205	8667
98	4248	8625
99	4289	8579
100	4330	8532
101	4369	8481
102	4405	8426
103	4442	8371
104	4482	8323
105	4518	8270
106	4555	8216
107	4595	8169
108	4630	8114
109	4668	8064
110	4704	8011
111	4742	7960
112	4781	7913
113	4818	7861
114	4855	7811
115	4894	7763
116	4931	7712
117	4966	7660
118	5004	7611
119	5043	7565
120	5080	7515
121	5115	7463
122	5152	7414
123	5193	7370
124	5228	7320
125	5267	7273
126	5303	7224
127	5338	7173
128	5376	7127
129	5412	7078
130	5447	7028
131	5485	6981
132	5524	6936
133	5561	6889
134	5601	6846
135	5643	6805
136	5680	6758
137	5717	6712
138	5759	6670
139	5798	6627
140	5837	6582
141	5875	6537
142	5930	6511
143	5983	6482
144	6038	6454
145	6105	6440
146	6149	6400
147	6193	6360
148	6232	6315
149	6272	6272
150	6310	6227
151	6349	6182
152	6389	6138
153	6427	6093
154	6464	6047
155	6503	6003
156	6539	5956
157	6574	5908
158	6614	5865
159	6655	5823
160	6693	5778
161	6731	5734
162	6770	5690
163	6818	5654
164	6855	5609
165	6891	5563
166	6927	5517
167	6966	5473
168	7002	5427
169	7037	5381
170	7075	5337
171	7111	5292
172	7148	5248
173	7182	5201
174	7224	5160
175	7267	5120
176	7303	5075
177	7340	5031
178	7378	4987
179	7417	4944
180	7453	4900
181	7490	4856
182	7526	4812
183	7566	4769
184	7601	4725
185	7640	4683
186	7679	4640
187	7717	4597
188	7753	4553
189	7790	4510
190	7829	4468
191	7866	4425
192	7903	4381
193	7939	4337
194	7977	4295
195	8013	4252
196	8052	4210
197	8088	4166
198	8125	4124
199	8162	4081
200	8201	4039
201	8239	3997
202	8277	3955
203	8312	3911
204	8350	3869
205	8387	3827
206	8425	3785
207	8463	3743
208	8499	3700
209	8540	3660
210	8578	3618
211	8622	3579
212	8660	3537
213	8696	3494
214	8733	3452
215	8770	3410
216	8806	3368
217	8843	3326
218	8880	3284
219	8917	3242
220	8955	3201
221	8991	3159
222	9026	3116
223	9063	3075
224	9100	3033
225	9138	2992
226	9175	2950
227	9212	2909
228	9251	2868
229	9287	2826
230	9324	2785
231	9362	2744
232	9401	2703
233	9438	2662
234	9474	2620
235	9509	2578
236	9543	2536
237	9583	2496
238	9621	2455
239	9658	2414
240	9695	2373
241	9730	2332
242	9769	2291
243	9805	2250
244	9841	2209
245	9876	2168
246	9915	2127
247	9951	2086
248	9988	2045
249	10025	2005
250	10066	1965
251	10102	1924
252	10139	1883
253	10175	1842
254	10210	1801
255	10255	1762
256	10300	1723
257	10338	1682
258	10374	1642
259	10413	1602
260	10452	1561
261	10488	1521
262	10528	1481
263	10565	1440
264	10602	1400
265	10638	1359
266	10677	1319
267	10712	1279
268	10748	1238
269	10783	1198
270	10820	1157
271	10919	1124
272	10959	1083
273	10998	1043
274	11034	1003
275	11071	962
276	11108	922
277	11146	882
278	11181	841
279	11217	801
280	11255	761
281	11294	720
282	11330	680
283	11367	640
284	11404	600
285	11441	560
286	11479	519
287	11514	479
288	11608	441
289	11646	401
290	11682	361
291	11718	321
292	11751	280
293	11791	240
294	11827	200
295	11863	160
296	11899	120
297	11936	80
298	11974	40
299	12007	0
